destination,shipCount,lat,lon
IN CHEON,1,37.453,126.731
INCHEON,12,37.453,126.731
IRELAND,1,38.7941,-80.5143
ISKENDERUN,14,36.587,36.173
ISKENDERUN  -,1,36.587,36.173
ISLAND,1,37.445,-87.1442
ISTAMBUL,1,41.013,28.949
ISTANBUL,16,41.013,28.949
ITACOATIARA,4,-3.143,-58.444
ITAGUAI,26,-22.852,-43.775
ITAGUI,1,6.171,-75.611
ITAJAI,2,-26.907,-48.661
ITAQUI,13,-29.125,-56.553
IZMIR,1,38.412,27.138
JAKARTA,10,-6.214,106.845
JEDDAH,14,21.516,39.219
JEJU,3,33.509,126.521
JIA XING,2,30.765,120.748
JIANGDU,1,32.436,119.55
JIAXING,1,30.765,120.748
JIZAN,3,16.889,42.551
JUBAIL,9,27.004,49.661
JURUTI,2,-2.1522,-56.0922
KAKINADA,24,16.933,82.216
KALAMA,5,46.0081,-122.8423
KALAMAKI,1,37.91,23.723
KALAMATA,2,37.038,22.114
KALININGRAD,8,54.71,20.5
KAMSAR,7,10.666,-14.6
KANDALAKSHA,5,67.157,32.411
KANDLA,51,23.033,70.216
KANDLA             !,1,23.033,70.216
KANDLA_,1,23.033,70.216
KARACHI,14,24.905,67.082
KARAIKAL,2,10.916,79.833
KASHIMA,8,35.9659,140.645
KAVALA,1,40.939,24.401
KENDARI,2,-3.945,122.498
KERCH,2,45.357,36.467
KHAWR     FAKKAN,1,25.339,56.356
KHERSON,2,46.633,32.6
KHOLMSK,1,47.051,142.056
KIMBE,6,-5.55,150.142
KISMAAYO,1,-0.358,42.545
KISMAYO,1,-0.358,42.545
KLAIPEDA,17,55.717,21.117
KLANG,9,3.033,101.45
KOH KONG,15,11.617,102.98
KOHKONG,1,11.617,102.98
KOKKOLA,2,63.838,23.13
KOLKATA,1,22.569,88.369
KOPER,10,45.546,13.729
KOPER            #,1,45.546,13.729
KOPING,1,59.514,15.992
KOTA KINABALU,3,5.978,116.0761
KOTAKINABALU,1,5.978,116.0761
KRABI,2,8.072,98.91
KRISTIANSAND,3,58.146,7.995
KUANTAN,12,3.807,103.326
KUCHING,2,1.55,110.333
KUNSAN,4,35.978,126.711
KWANGYANG,16,34.937,127.686
KWINANA,18,-32.25,115.766
KWINANA            !,1,-32.25,115.766
LA GUAIRA,2,10.599,-66.934
LAHAD DATU,2,5.026,118.327
LAHADDATU,1,5.026,118.327
LAI ZHOU,1,37.171,119.921
LAIZHOU,6,37.171,119.921
LAKE CHARLES,1,30.224,-93.2201
LANDSKRONA,1,55.87,12.83
LARNACA,1,34.916,33.629
LHOKNGA,2,5.4769,95.2454
LIAN YUN GANG,13,34.599,119.159
LIAN YUNGANG,4,34.599,119.159
LIANYUN GANG,1,34.599,119.159
LIANYUNGANG,45,34.599,119.159
LIBREVILLE,2,0.383,9.45
LIEPAJA,3,56.516,21.016
LIMASSOL,3,34.675,33.033
LISBOA,1,38.7257,-9.1502
LIVORNO,3,43.5529,10.32
LOBITO,4,-12.348,13.545
LOME,18,6.137,1.212
LOME     !0      !,1,6.137,1.212
LONG KOU,3,37.65,120.328
LONGKOU,31,37.65,120.328
LORIENT,3,47.7502,-3.3668
LUANDA,13,-8.838,13.234
LUDERITZ,2,-26.648,15.159
LULEA,2,65.584,22.154
LUMUT,3,4.233,100.633
MA CAS,4,-2.316,-78.116
MACAPA,3,0.038,-51.066
MACEIO,3,-9.665,-35.735
MADEIRA,1,39.1901,-84.3631
MAHAJANGA,1,-15.716,46.316
MAKASSAR,3,-5.14,119.422
MALABO,2,3.75,8.783
MALE,1,4.174,73.508
MALE _,1,4.174,73.508
MANAUS,1,-3.101,-60.025
MANAUS;),1,-3.101,-60.025
MANFREDONIA,1,41.6303,15.9233
MANGALORE,1,12.866,74.883
MANISTEE,1,44.2417,-86.319
MANTA ECUADOR,1,-0.95,-80.733
MAO MING,1,21.663,110.9254
MAPUTO,20,-25.965,32.589
MARACAIBO,6,10.631,-71.64
MARINA DI CARRARA,1,44.0395,10.0345
MARINETTE,2,45.0998,-87.633
MARIUPOL,39,47.066,37.5
MARIUPOL         #;<,1,47.066,37.5
MARIUPOL         #=,1,47.066,37.5
MARIUPOL         #=0,1,47.066,37.5
MARIVELES,1,14.436,120.485
MASAN,1,35.208,128.572
MATADI,14,-5.816,13.45
MAWLAMYINE,3,16.491,97.625
MERSIN,12,36.795,34.617
MILWAUKEE,6,43.042,-87.9069
MIRI,2,4.383,113.983
MISRATAH,2,32.375,15.092
MO I RANA,1,66.312,14.142
MOA,1,20.656,-74.94
MOBILE,14,30.6865,-88.053
MOKPO,2,34.793,126.388
MOLDE,1,62.737,7.159
MOMBASA,13,-4.055,39.66
MONFALCONE,7,45.8091,13.525
MOREHEAD CITY,1,34.7218,-76.7176
MOROCCO,2,40.9408,-87.4541
MORONI,5,39.5249,-111.5829
MOSTAGANEM,2,35.931,0.089
MUARA SABAK,2,-1.1361,103.8499
MUMBAI,40,19.014,72.847
MUNDRA,35,22.85,69.733
MURMANSK,22,68.971,33.081
MUSCAT,1,23.613,58.593
MYKOLAYIV,3,46.966,32
NADOR,4,35.174,-2.928
NAKHODKA,24,42.833,132.894
NAMIBE,1,-15.196,12.152
NAN JING,5,32.061,118.777
NAN JING ^_^,1,32.061,118.777
NAN  TONG,1,32.03,120.874
NAN TONG,6,32.03,120.874
NANAIMO,1,49.166,-123.936
NANJING,10,32.061,118.777
NANTONG,21,32.03,120.874
NANTONG  '8?1'8,1,32.03,120.874
NAPOLI,1,42.2025,-78.892
NARRA,2,9.268,118.404
NECOCHEA,22,-38.55,-58.75
NEW ORLEANS,62,29.9537,-90.0778
NEW WESTMINSTER,1,49.206,-122.91
NEW YORK,1,40.7146,-74.0071
NEWORLEANS,4,29.9537,-90.0778
NEWPORT NEWS,9,37.0835,-76.4806
NEWPORTNEWS,1,37.0835,-76.4806
NEWWESTMINSTER,1,49.206,-122.91
NING BO,4,29.878,121.549
NING DE,2,26.661,119.522
NINGBO,12,29.878,121.549
NINGDE,3,26.661,119.522
NORDENHAM,1,53.4895,8.4786
NOUADHIBOU,17,20.93,-17.034
NOUAKCHOT T,1,18.1,-15.949
NOUAKCHOTT,7,18.1,-15.949
NOUAKCHOTT      $ %,1,18.1,-15.949
NOUMEA,2,-22.276,166.457
NOVOROSSIYSK,28,44.723,37.77
NOVOROSSIYSK>>,1,44.723,37.77
NUEVA PALMIRA,27,-33.87,-58.408
NUEVA_PALMIRA,1,-33.87,-58.408
OITA,4,33.2397,131.6091
OKTYABRSK,2,49.474,57.423
ONEGA,3,63.92,38.079
